,song,artist,genre,artists(shazam),songwriters,producers
49,I Wanna Be Yours,Arctic Monkeys,Alternative,"['Alex Turner', 'James Ford', 'Jamie Cook', 'Matt Helders', ""Nick O'Malley""]","['John Cooper Clarke', 'Alex Turner', 'Jamie Cook']","['James Ford', 'Ross Orton', 'Tchad Blake', 'Zackery Michael', 'Brian Lucey', 'Ian Shea']"
50,Austin,Dasha,Country,['Dasha'],"['Adam Wendler', 'Kenneth Travis Heidelman', 'Anna Dasha Novotny', 'Cheyenne Rose Arnspiger']",
51,Starboy,The Weeknd,R&B/Soul,"['The Weeknd', 'Guy-Manuel de Homem-Christo', 'Thomas Bangalter']","['Henry Russell Walter', 'Martin McKinney', 'Guy-Manuel de Homem-Christo', 'Jason Daheala Quenneville', 'The Weeknd', 'Thomas Bangalter']","['The Weeknd', 'Daft Punk', 'Florian Lagatta', 'Martin McKinney', 'Josh Smith', 'Serban Ghenea', 'John Hanes', 'Cirkut']"
52,Perro Negro,Feid & Bad Bunny,Latin Urban,,"['Jonathan Zibi', 'Marco Borrero', 'Armando Cuesta', 'Frank Packer', 'Samuel Jimenez', 'Marlon Orrego', 'SalomÃ³n Villada Hoyos', 'Jose Jr. Roberto Rosado Torres', 'Benito A. Martinez Ocasio']",
53,FE!N,Travis Scott,Hip-Hop/Rap,['Travis Scott'],"['Jahaan Sweet', 'Travis Scott', 'Sheck Wes', 'Playboi Carti']",
54,Perfect,Ed Sheeran,Pop,"['Ed Sheeran', 'Pino Palladino', 'Katherine Jenkinson', 'Nick Cooper', 'Peter Gregson', 'Tim Lowe', 'Charys Green', 'Leon Bosch', 'Will Hicks', 'John Tilley', 'Nick Cartledge', 'Kotono Sato', 'Meghan Cassidy', 'Rachel Roberts', 'Alison Dods', 'Fenella Barton', 'James Dickenson', 'Jan Regulski', 'Kirsty Mangan', 'Magnus Johnston', 'Mandhira De Saram', 'Marije Johnston', 'Martyn Jackson', 'Patrick Kiernan', 'Simon Hewitt Jones', 'Ben Russell', 'Deborah Widdup', 'Jay Lewis', 'Jeremy Morris', 'Laurie Anderson']","['Ed Sheeran', 'Matthew Sheeran']","['Ed Sheeran', 'benny blanco', 'Geoff Swan', 'Michael Freeman', 'George Oulton', 'Jack Fairbrother', 'Jonny Solway', 'Matt Jones', 'Paul Pritchard', 'Will Hicks', 'Chris Sclafani', 'Joe Rubel', 'Stuart Hawkes', 'Mark ""Spike"" Stent']"
55,I'm Good (Blue),David Guetta & Bebe Rexha,Dance,"['David Guetta', 'Bebe Rexha']","['Massimo Gabutti', 'Bebe Rexha', 'David Guetta', 'Phil Plested', 'Camille Angelina Purcell', 'Maurizio Lobina', 'Gianfranco Randone']",
56,Until I Found You,Stephen Sanchez,Singer/Songwriter,"['Stephen Sanchez', 'Ian Fitchuk', 'Georgia Brown']","['Stephen Sanchez', 'Em Beihold']","['Ian Fitchuk', 'Konrad Snyder']"
57,Daylight,David Kushner,Pop,"['David Kushner', 'Rob Kirwan', 'Hayden Robert Hubers', 'Rick Hornby']","['Drake Jon Livingston Junior', 'Edison Boon Eason', 'David Alan Kushner', 'Hayden Robert Hubers', 'Jeremy Fedryk', 'Josh Bruce Williams']","['Jacob ÂBizÂ Morris', 'Rob Kirwan']"
58,Viva La Vida,Coldplay,Alternative,"['Chris Martin', 'Berryman Guy Rupert', 'Will Champion', 'Jonny Buckland', 'Brian Eno', 'Francois Chevallier', 'Davide Rossi']","['Davide Rossi', 'Berryman Guy Rupert', 'Will Champion', 'Chris Martin', 'Jonny Buckland']","['Jon Hopkins', 'William ""Will"" Hensley', 'Andrew Rugg', 'Brian Thorn', 'Daniel Green', 'Bob Ludwig', 'Andy Wallace', 'Markus Dravs', 'Michael H. Brauer', 'Brian Eno', 'Rik Simpson', 'Olga Fitzroy', 'Michael Trepagnier']"
59,La Diabla,Xavi,Regional Mexican,"['Xavi', 'Ivan Lopez', 'Leonardo Gama', 'Mark Diaz']","['Joshua Xavier Gutierrez Alonso', 'Fabio Gutierrez', 'Alex Hernandez']",['Ernesto Fernandez']
60,Vampire,Olivia Rodrigo,Pop,"['Olivia Rodrigo', 'Daniel Nigro', 'Paul Cartwright']",['Olivia Rodrigo'],
61,Magnetic,ILLIT,K-Pop,['ILLIT'],"['salem ilese', 'Marcus Andersson', 'Vincenzo', 'Hyun Sun Oh', 'martin', 'danke(lalala studio)', 'Hitman Bang', 'JAMES', 'Lauren Amber Aquilina', 'Slow Rabbit', 'Yi Yi Jin', 'Kimkiwi', 'Sophie Leigh McBurnie']","['Slow Rabbit', '""Hitman"" Bang', 'Kevin Grainger', 'Chris Gehringer', 'martin']"
